コード,取引値.1,出来高
8411,130.0,95937800
8306,410.0,65546300
1357,795.0,64452284
7647,30.0,47907100
8894,45.0,40092700
9984,6267.0,30112500
9424,210.0,28473600
9318,10.0,25029100
1699,104.0,21575640
4563,1703.0,21356000
7201,374.8,20675800
1757,130.0,20671600
4689,532.0,20131700
8604,483.7,19761600
9973,72.0,16876800
4599,963.0,16393200
7610,119.0,14996100
5020,374.8,14968500
6731,55.0,13309900
6740,43.0,12878600
1605,598.2,12446500
7707,1521.0,12260600
8028,2306.0,11457400
8308,360.3,10755700
8256,297.0,10609800
2038,252.0,10607827
2586,573.0,10231200
3911,1076.0,10152800
7211,258.0,9895000
3323,130.0,9824000
4005,312.0,9571300
6758,7780.0,8899600
8918,10.0,8897800
8591,1278.0,7910200
6723,592.0,7885700
9434,1393.5,7817600
3289,433.0,7718800
8002,469.3,7709900
7453,1371.0,7706200
3528,39.0,7679800
8801,1710.0,7554100
9501,305.0,7231000
8515,214.0,7203300
1671,839.0,7199233
6093,240.0,7075900
1491,20.0,7019500
8570,889.0,6915600
4755,988.0,6826200
7751,2007.0,6797800
8316,2980.0,6720700
4591,613,6676500
7203,6568,6646300
4902,360,6618500
6472,198,6409700
1570,19040,6397616
6752,954.9,6310900
8848,172,6106700
8410,277,6100000
4347,123,6051500
9201,1907,5902400
7261,628,5878500
6178,750.8,5775600
8601,464.2,5751500
2191,1314,5618300
4503,1713.5,5595800
2768,229,5293400
2914,1930,5179300
9433,3265,5084800
4502,3670,5057100
9202,2347.5,4982700
3402,484.2,4897500
6098,3570,4841000
8585,107,4835600
7186,335,4801200
8031,1560,4758800
9399,103,4756092
9613,1191,4748200
8789,46,4670900
5406,353,4640000
8750,1278.5,4566800
7733,1978,4558000
5401,980.3,4549600
7267,2636.5,4549000
9432,2515,4509100
3436,1620,4492000
8802,1503.5,4374700
5411,750,4339000
2315,36,4208700
8001,2296,4110500
9831,492,4017200
8053,1205,4007900
5940,83,3947700
9603,1592,3921600
6803,132,3919800
3382,3304,3905700
3667,757,3886000
4188,607.3,3881700
8107,26,3860100
6503,1376.5,3782600
8058,2241.5,3735600
